年份,縣市,總人口,出生人數,死亡人數,遷入人數,遷出人數,淨遷徙人數,自然增加人數,年人口變動,年增率（%）
2015,基隆市,"372,105","2,439","2,842","17,672","18,254",-582,-403,-972,-0.26
2015,新北市,"3,970,644","36,313","22,135","164,552","174,864","-10,312","+14,178","+3,826",+0.10
2015,臺北市,"2,704,810","28,987","17,134","133,729","143,115","-9,386","+11,853","+2,495",+0.09
2015,桃園市,"2,105,780","22,384","11,589","117,542","80,874","+36,668","+10,795","+47,452",+2.31
2015,新竹市,"434,060","4,976","2,573","20,937","21,272",-335,"+2,403","+2,072",+0.48
2015,新竹縣,"542,042","5,584","3,507","23,840","21,493","+2,347","+2,077","+4,412",+0.82
2015,苗栗縣,"563,912","5,756","4,729","16,228","20,457","-4,229","+1,027","-3,220",-0.57
2015,臺中市,"2,744,445","26,313","16,108","133,007","118,640","+14,367","+10,205","+24,610",+0.90
2015,南投縣,"509,490","3,576","4,752","14,813","18,429","-3,616","-1,176","-4,825",-0.94
2015,彰化縣,"1,289,072","13,314","10,030","34,874","40,551","-5,677","+3,284","-2,402",-0.19
2015,雲林縣,"699,633","4,986","6,866","20,602","24,445","-3,843","-1,880","-5,723",-0.81
2015,嘉義縣,"519,839","3,054","5,423","15,821","18,396","-2,575","-2,369","-4,944",-0.94
2015,嘉義市,"270,366","2,224","2,018","11,638","12,355",-717,+206,-517,-0.19
2015,臺南市,"1,885,541","15,769","14,328","70,109","70,290",-181,"+1,441","+1,257",+0.07
2015,高雄市,"2,778,918","22,469","20,520","120,208","122,243","-2,035","+1,949",-74,-0.00
2015,屏東縣,"841,253","5,266","8,162","26,657","30,473","-3,816","-2,896","-6,664",-0.79
2015,宜蘭縣,"458,117","3,437","3,726","19,754","20,118",-364,-289,-660,-0.14
2015,花蓮縣,"331,945","2,693","3,261","16,639","17,503",-864,-568,"-1,447",-0.43
2015,臺東縣,"222,452","1,605","2,405","8,071","9,273","-1,202",-800,"-2,018",-0.90
2015,澎湖縣,"102,304",892,920,"5,410","4,837",+573,-28,+546,+0.54
2015,金門縣,"132,799","1,396",741,"10,952","6,522","+4,430",+655,"+5,076",+3.97
2015,連江縣,"12,547",165,53,"1,053","1,123",-70,+112,+41,+0.33
2016,基隆市,"372,100","2,548","2,938","17,275","16,888",+387,-390,-5,-0.00
2016,新北市,"3,979,208","34,331","23,307","161,943","164,454","-2,511","+11,024","+8,564",+0.22
2016,臺北市,"2,695,704","27,992","17,990","127,081","146,197","-19,116","+10,002","-9,106",-0.34
